t|uc_0|ud|m|x_0|x_1|x_2|h_0|h_1|h_2|h_3|h_4|yc_0|yc_1|yd
0|no|no|Nom1|0.6|0.55|0.58|0|0|0.001|0|0|no|no|no
60|3.5e-05|no|Nom1|0.6506030564713967|0.5502961814844157|0.5914699341990554|0.0005998200359945693|0.0005998200359945693|0.0015992202159585958|1.9999979999907325e-06|1.9999979999907325e-06|0.6959862948429602|27.592130403529033|no
120|3.5e-05|no|Nom1|0.6804956292419585|0.5611850665050784|0.6068688749902326|0.0011992802879136066|0.0011992802879136066|0.002198081007625751|3.9999919999589295e-06|3.9999919999589295e-06|0.6587632222516456|28.698796476377904|no
180|3.5e-05|no|Nom1|0.7038242125131221|0.5710869973198127|0.6292466892637326|0.0017983809715627075|0.0017983809715627075|0.0027965825905912336|5.9999820000156134e-06|5.9999820000156134e-06|0.6854687401135598|29.67045578966061|no
240|3.5e-05|no|Nom1|0.7269574690898547|0.5949189568097181|0.6419496859263839|0.0023971223026182376|0.0023971223026182376|0.0033947251803156933|7.999968000049762e-06|7.999968000049762e-06|0.7516376525062943|30.241858299130204|no
300|3.5e-05|no|Nom1|0.7440109899052448|0.6136295975474456|0.6634306226688832|0.0029955044966269995|0.0029955044966269995|0.003992508992130438|9.999950000172397e-06|9.999950000172397e-06|0.7596864573404851|31.07501605379284|no
360|3.5e-05|no|Nom1|0.763887293900884|0.6318796291413801|0.6856479320347095|0.003593527769006566|0.003593527769006566|0.004589934241237658|1.1999928000272497e-05|1.1999928000272497e-05|0.7755929873170212|32.140153519578035|no
420|3.5e-05|no|Nom1|0.7880736577984486|0.647355081422817|0.7056945792896193|0.004191192335045391|0.004191192335045391|0.005187001142710423|1.3999902000461084e-05|1.3999902000461084e-05|0.8166425217667044|32.95793286469896|no
480|3.5e-05|no|Nom1|0.8062541023400722|0.6657274381765422|0.7248583390596671|0.004788498409902697|0.004788498409902697|0.005783709911492906|1.5999872000738158e-05|1.5999872000738158e-05|0.7680699463377554|33.74010335535426|no
540|3.5e-05|no|Nom1|0.8233031870542901|0.6868408190289828|0.7419726935009976|0.005385446208608702|0.005385446208608702|0.006380060762400163|1.7999838000992696e-05|1.7999838000992696e-05|0.8274241679656649|34.64456804625828|no
600|3.5e-05|no|Nom1|0.8435260987157763|0.7030454554057939|0.7604169857347375|0.005982035946064612|0.005982035946064612|0.006976053910118573|1.999980000133572e-05|1.999980000133572e-05|0.8457912622132797|35.85607077532729|no
660|3.5e-05|no|Nom1|0.86261452337253|0.7184192045059136|0.7809828597904679|0.006578267837042739|0.006578267837042739|0.00757168956920573|2.1999758001767233e-05|2.1999758001767233e-05|0.8818469476664609|36.21307364686937|no
720|3.5e-05|no|Nom1|0.8836460578691748|0.7357580897112761|0.796770639017216|0.007174142096186498|0.007174142096186498|0.008166967954090443|2.3999712002287232e-05|2.3999712002287232e-05|0.8937531665699916|37.170809893861474|no
780|3.5e-05|no|Nom1|0.8995031074161199|0.7532338069669169|0.8131059528929986|0.007769658938010737|0.007769658938010737|0.008761889279072843|2.5999662002895718e-05|2.5999662002895718e-05|0.8965320883562624|37.634534672093544|no
840|3.5e-05|no|Nom1|0.9173697009015979|0.7682727957360673|0.8280148877162944|0.008364818576901523|0.008364818576901523|0.009356453758324723|2.799960800359269e-05|2.799960800359269e-05|0.891420733013151|38.611883982962624|no
