t|uc_0|ud|m|x_0|x_1|x_2|h_0|h_1|h_2|h_3|h_4|yc_0|yc_1|yd
0|no|no|Nom1|0.6|0.55|0.58|0|0|0.001|0|0|no|no|no
60|3.5e-05|no|Nom1|0.6540452287296495|0.5517168392429587|0.5870456243939248|0.0005998200359945693|0.0005998200359945693|0.0015992202159585958|1.9999979999907325e-06|1.9999979999907325e-06|0.6500980235305275|27.649737852837077|no
120|3.5e-05|no|Nom1|0.6812853045791577|0.5649475602031268|0.6099437077658351|0.0011992802879136066|0.0011992802879136066|0.002198081007625751|3.9999919999589295e-06|3.9999919999589295e-06|0.6565569346706622|28.420820941577343|no
180|3.5e-05|no|Nom1|0.7069642867987722|0.5804861236541088|0.631815158472681|0.0017983809715627075|0.0017983809715627075|0.0027965825905912336|5.9999820000156134e-06|5.9999820000156134e-06|0.6799178590615423|29.59657460164012|no
240|3.5e-05|no|Nom1|0.7292978398924442|0.6007231601708614|0.6492121666578984|0.0023971223026182376|0.0023971223026182376|0.0033947251803156933|7.999968000049762e-06|7.999968000049762e-06|0.7138746113941917|30.550630235049756|no
300|3.5e-05|no|Nom1|0.7510658801443534|0.6174706675497998|0.6726127371085887|0.0029955044966269995|0.0029955044966269995|0.003992508992130438|9.999950000172397e-06|9.999950000172397e-06|0.7513473765831142|31.473742393420153|no
360|3.5e-05|no|Nom1|0.7757648032496017|0.6386735150658791|0.6943801700392288|0.003593527769006566|0.003593527769006566|0.004589934241237658|1.1999928000272497e-05|1.1999928000272497e-05|0.732146355937084|32.67717084654734|no
420|3.5e-05|no|Nom1|0.7969073674424555|0.6590865046855805|0.7142575570716322|0.004191192335045391|0.004191192335045391|0.005187001142710423|1.3999902000461084e-05|1.3999902000461084e-05|0.800565040976612|33.50457966152814|no
480|3.5e-05|no|Nom1|0.818066153708976|0.6780146172364734|0.7358385683691995|0.004788498409902697|0.004788498409902697|0.005783709911492906|1.5999872000738158e-05|1.5999872000738158e-05|0.8009500645157769|34.235292570748655|no
540|3.5e-05|no|Nom1|0.836364276361727|0.6981786424757873|0.7552705752284551|0.005385446208608702|0.005385446208608702|0.006380060762400163|1.7999838000992696e-05|1.7999838000992696e-05|0.7936971446929466|35.309513769296665|no
600|3.5e-05|no|Nom1|0.856400993450685|0.7122599620609431|0.7729060397602909|0.005982035946064612|0.005982035946064612|0.006976053910118573|1.999980000133572e-05|1.999980000133572e-05|0.8612309576911549|35.80489554366249|no
660|3.5e-05|no|Nom1|0.8746038498433643|0.7307189188849533|0.791432465766391|0.006578267837042739|0.006578267837042739|0.00757168956920573|2.1999758001767233e-05|2.1999758001767233e-05|0.8415711730677251|37.14283843591012|no
